case_number,data,prompt,artist,evaluation_seed
0,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,5860
1,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,2311
2,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,1518
3,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,2695
4,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,6911
5,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,4181
6,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,7409
7,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,3045
8,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1578
9,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7005
10,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,1911
11,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,4859
12,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,5307
13,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,4980
14,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,9378
15,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,2021
16,generic_artists_prompts,a design of John Blanche,John Blanche,8504
17,generic_artists_prompts,a painting of John Blanche,John Blanche,1447
18,generic_artists_prompts,a piece of art of John Blanche,John Blanche,533
19,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,302
20,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,6876
21,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,9418
22,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,8656
23,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,5318
24,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,9606
25,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,2438
26,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,3867
27,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,277
28,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,4619
29,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,2204
30,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,9460
31,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,2540
32,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,5690
33,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,5988
34,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,4677
35,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,587
36,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,7881
37,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,1808
38,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4186
39,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,4279
40,generic_artists_prompts,a design of Alec Soth,Alec Soth,2102
41,generic_artists_prompts,a painting of Alec Soth,Alec Soth,290
42,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,7125
43,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,9533
44,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,6825
45,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,7021
46,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,6558
47,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,6254
48,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,9450
49,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,9194
50,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,3516
51,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,8560
52,generic_artists_prompts,a design of André Kertész,André Kertész,1906
53,generic_artists_prompts,a painting of André Kertész,André Kertész,2008
54,generic_artists_prompts,a piece of art of André Kertész,André Kertész,494
55,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,637
56,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,7491
57,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,3295
58,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5268
59,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,709
60,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,2624
61,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,5572
62,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,6019
63,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,1438
64,generic_artists_prompts,a design of Glen Keane,Glen Keane,3297
65,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7890
66,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1603
67,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,1072
68,generic_artists_prompts,a design of John Constable,John Constable,6856
69,generic_artists_prompts,a painting of John Constable,John Constable,1597
70,generic_artists_prompts,a piece of art of John Constable,John Constable,2816
71,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,1600
72,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,8665
73,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,5834
74,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,450
75,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,2487
76,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,7578
77,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,1624
78,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,7627
79,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,6225
80,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,6781
81,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,6430
82,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,9926
83,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8919
84,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,6839
85,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,8697
86,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,505
87,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,6572
88,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,4972
89,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,6289
90,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,9501
91,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,1162
92,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,6311
93,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,9742
94,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,8992
95,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,3974
96,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,3662
97,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,2207
98,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,4065
99,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,408
100,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,2667
101,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,1803
102,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,2486
103,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,4238
104,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,7428
105,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,7318
106,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,8159
107,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,9217
108,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,894
109,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,4720
110,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,3445
111,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,5412
112,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,7362
113,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,1885
114,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,2807
115,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,8258
116,generic_artists_prompts,a design of John Blanche,John Blanche,964
117,generic_artists_prompts,a painting of John Blanche,John Blanche,667
118,generic_artists_prompts,a piece of art of John Blanche,John Blanche,7485
119,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,6029
120,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,9460
121,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,7048
122,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,9648
123,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,5582
124,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,5013
125,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,1726
126,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,4208
127,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,3206
128,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,3803
129,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,2123
130,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,6012
131,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,8548
132,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,9699
133,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,248
134,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,3267
135,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,7971
136,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,4168
137,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,4113
138,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4504
139,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,3684
140,generic_artists_prompts,a design of Alec Soth,Alec Soth,51
141,generic_artists_prompts,a painting of Alec Soth,Alec Soth,471
142,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,5529
143,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,4075
144,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,4563
145,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,5994
146,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,9660
147,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,8341
148,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,4800
149,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,5873
150,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,6283
151,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,5027
152,generic_artists_prompts,a design of André Kertész,André Kertész,2067
153,generic_artists_prompts,a painting of André Kertész,André Kertész,4487
154,generic_artists_prompts,a piece of art of André Kertész,André Kertész,7519
155,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,2680
156,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,4980
157,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,2669
158,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,7235
159,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,9618
160,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,867
161,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,4717
162,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,5144
163,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,3381
164,generic_artists_prompts,a design of Glen Keane,Glen Keane,6239
165,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7962
166,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1434
167,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,597
168,generic_artists_prompts,a design of John Constable,John Constable,7653
169,generic_artists_prompts,a painting of John Constable,John Constable,429
170,generic_artists_prompts,a piece of art of John Constable,John Constable,3461
171,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,4516
172,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,6992
173,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,4296
174,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,2889
175,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,776
176,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,2168
177,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,1090
178,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,1240
179,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,5167
180,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,6203
181,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,1088
182,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,8921
183,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8655
184,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,7147
185,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,6208
186,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,7445
187,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,5002
188,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,1038
189,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,8593
190,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,3792
191,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,7305
192,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,5953
193,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,1127
194,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,7991
195,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,4115
196,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,170
197,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,3048
198,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,3069
199,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,3683
200,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,6282
201,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,5642
202,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,1497
203,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,7965
204,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,5596
205,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,7262
206,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,644
207,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,2028
208,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1680
209,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7528
210,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,1875
211,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,2313
212,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,8629
213,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,5156
214,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,1850
215,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,5594
216,generic_artists_prompts,a design of John Blanche,John Blanche,1372
217,generic_artists_prompts,a painting of John Blanche,John Blanche,3897
218,generic_artists_prompts,a piece of art of John Blanche,John Blanche,8901
219,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,7120
220,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,271
221,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,198
222,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,1235
223,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,247
224,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,4857
225,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,5853
226,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,9239
227,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,6237
228,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,7568
229,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,6473
230,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,1187
231,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,455
232,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,5868
233,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,3205
234,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,6941
235,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,9068
236,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,4901
237,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,873
238,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,7242
239,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,1354
240,generic_artists_prompts,a design of Alec Soth,Alec Soth,4185
241,generic_artists_prompts,a painting of Alec Soth,Alec Soth,7996
242,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,9519
243,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,5599
244,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,763
245,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,3406
246,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,7033
247,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,5870
248,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,1680
249,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,1715
