case_number,data,prompt,artist,evaluation_seed
500,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,5871
501,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,739
502,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,1128
503,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,4796
504,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,7217
505,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,5252
506,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,3559
507,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,4747
508,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,6589
509,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7343
510,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,4966
511,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,5424
512,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,9967
513,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,8286
514,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,8446
515,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,5816
516,generic_artists_prompts,a design of John Blanche,John Blanche,6802
517,generic_artists_prompts,a painting of John Blanche,John Blanche,7742
518,generic_artists_prompts,a piece of art of John Blanche,John Blanche,6251
519,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,3088
520,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,2392
521,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,2939
522,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,5441
523,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,1464
524,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,8323
525,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,2146
526,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,7210
527,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,6216
528,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,4837
529,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,1695
530,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,5059
531,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,874
532,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,2904
533,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,8733
534,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,9744
535,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,7227
536,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,7617
537,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,5642
538,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,107
539,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,9578
540,generic_artists_prompts,a design of Alec Soth,Alec Soth,1025
541,generic_artists_prompts,a painting of Alec Soth,Alec Soth,4344
542,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,1571
543,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,2939
544,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,5353
545,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,1646
546,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,376
547,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,8362
548,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,1596
549,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,6854
550,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,4127
551,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,3567
552,generic_artists_prompts,a design of André Kertész,André Kertész,858
553,generic_artists_prompts,a painting of André Kertész,André Kertész,4150
554,generic_artists_prompts,a piece of art of André Kertész,André Kertész,9003
555,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,6617
556,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,5807
557,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,7974
558,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5853
559,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,7487
560,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,3769
561,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,2064
562,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,8310
563,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,3811
564,generic_artists_prompts,a design of Glen Keane,Glen Keane,3062
565,generic_artists_prompts,a painting of Glen Keane,Glen Keane,5066
566,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,3978
567,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,7540
568,generic_artists_prompts,a design of John Constable,John Constable,2940
569,generic_artists_prompts,a painting of John Constable,John Constable,838
570,generic_artists_prompts,a piece of art of John Constable,John Constable,4802
571,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,7225
572,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,7206
573,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,4829
574,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,4952
575,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,4540
576,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,6367
577,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,9881
578,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,8273
579,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,6664
580,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,3329
581,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,6906
582,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,1718
583,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,6142
584,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,513
585,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,3234
586,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,3455
587,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,1449
588,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,8125
589,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,4544
590,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,4541
591,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,9076
592,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,5625
593,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,1117
594,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,1703
595,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,7963
596,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,9388
597,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,4229
598,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,7067
599,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,8580
600,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,1314
601,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,241
602,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,7298
603,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,4190
604,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,1740
605,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,9935
606,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,1036
607,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,8204
608,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1785
609,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,6254
610,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,9036
611,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,7909
612,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,7690
613,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,9685
614,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,1871
615,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,4778
616,generic_artists_prompts,a design of John Blanche,John Blanche,4668
617,generic_artists_prompts,a painting of John Blanche,John Blanche,1952
618,generic_artists_prompts,a piece of art of John Blanche,John Blanche,695
619,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,6775
620,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,6431
621,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,3870
622,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,7998
623,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,2754
624,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,3585
625,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,4932
626,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,938
627,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,5630
628,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,374
629,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,5119
630,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,2226
631,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,7819
632,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,4087
633,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,7058
634,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,6786
635,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,5708
636,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,3846
637,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,732
638,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,9017
639,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,5331
640,generic_artists_prompts,a design of Alec Soth,Alec Soth,7375
641,generic_artists_prompts,a painting of Alec Soth,Alec Soth,7179
642,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,8377
643,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,7104
644,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,2060
645,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,1701
646,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,7531
647,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,5873
648,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,7820
649,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,8635
650,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,2751
651,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,154
652,generic_artists_prompts,a design of André Kertész,André Kertész,9748
653,generic_artists_prompts,a painting of André Kertész,André Kertész,5118
654,generic_artists_prompts,a piece of art of André Kertész,André Kertész,6788
655,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,4466
656,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,461
657,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,9777
658,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,4781
659,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,1204
660,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,7654
661,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,3335
662,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,787
663,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,2323
664,generic_artists_prompts,a design of Glen Keane,Glen Keane,7184
665,generic_artists_prompts,a painting of Glen Keane,Glen Keane,9351
666,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1481
667,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,2970
668,generic_artists_prompts,a design of John Constable,John Constable,1346
669,generic_artists_prompts,a painting of John Constable,John Constable,1049
670,generic_artists_prompts,a piece of art of John Constable,John Constable,1366
671,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,4295
672,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,1640
673,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,6826
674,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,8324
675,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,8219
676,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,3951
677,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,8111
678,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,2507
679,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,4240
680,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,1079
681,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,8794
682,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,6452
683,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8137
684,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,7376
685,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,5005
686,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,1817
687,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,6950
688,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,8811
689,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,2050
690,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,8648
691,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,4555
692,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,114
693,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,4885
694,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,1978
695,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,9212
696,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,6346
697,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,2030
698,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,4765
699,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,518
700,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,3855
701,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,1631
702,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,6315
703,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,7174
704,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,8068
705,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,34
706,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,6986
707,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,4060
708,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,4092
709,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,3679
710,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,4899
711,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,8802
712,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,7908
713,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,8225
714,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,4205
715,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,7130
716,generic_artists_prompts,a design of John Blanche,John Blanche,5222
717,generic_artists_prompts,a painting of John Blanche,John Blanche,1978
718,generic_artists_prompts,a piece of art of John Blanche,John Blanche,2423
719,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,2855
720,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,8951
721,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,8852
722,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,9853
723,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,174
724,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,8769
725,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,2028
726,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,8783
727,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,9612
728,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,373
729,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,8330
730,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,1085
731,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,3412
732,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,3936
733,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,4559
734,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,2101
735,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,2095
736,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,7969
737,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,7559
738,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,3684
739,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,1107
740,generic_artists_prompts,a design of Alec Soth,Alec Soth,4190
741,generic_artists_prompts,a painting of Alec Soth,Alec Soth,8731
742,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,6109
743,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,574
744,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,8374
745,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,8060
746,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,6191
747,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,478
748,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,5276
