case_number,data,prompt,artist,evaluation_seed
749,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,9563
750,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,3876
751,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,6781
752,generic_artists_prompts,a design of André Kertész,André Kertész,885
753,generic_artists_prompts,a painting of André Kertész,André Kertész,4447
754,generic_artists_prompts,a piece of art of André Kertész,André Kertész,3269
755,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,2388
756,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,4963
757,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,3426
758,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5267
759,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,1468
760,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,7310
761,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,1822
762,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,8446
763,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,3969
764,generic_artists_prompts,a design of Glen Keane,Glen Keane,6161
765,generic_artists_prompts,a painting of Glen Keane,Glen Keane,8433
766,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,5033
767,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,3990
768,generic_artists_prompts,a design of John Constable,John Constable,2162
769,generic_artists_prompts,a painting of John Constable,John Constable,7212
770,generic_artists_prompts,a piece of art of John Constable,John Constable,7717
771,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,6780
772,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,2003
773,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,7952
774,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,1359
775,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,1191
776,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,2174
777,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,9048
778,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,3964
779,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,4024
780,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,7065
781,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,3694
782,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,1032
783,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,5249
784,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,399
785,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,2381
786,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,9937
787,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,2866
788,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,4782
789,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,3381
790,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,5962
791,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,5543
792,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,3528
793,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,3979
794,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,1212
795,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,7269
796,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,2732
797,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,1944
798,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,5102
799,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,613
800,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,5575
801,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,347
802,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,5850
803,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,1328
804,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,216
805,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,6529
806,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,4362
807,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,3838
808,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,2585
809,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,5386
810,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,2401
811,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,4428
812,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,4793
813,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,3802
814,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,8668
815,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,4668
816,generic_artists_prompts,a design of John Blanche,John Blanche,8852
817,generic_artists_prompts,a painting of John Blanche,John Blanche,9730
818,generic_artists_prompts,a piece of art of John Blanche,John Blanche,8073
819,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,8824
820,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,5868
821,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,9074
822,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,8961
823,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,8
824,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,6593
825,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,1683
826,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,1337
827,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,2265
828,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,913
829,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,3664
830,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,5268
831,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,7452
832,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,6116
833,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,9030
834,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,6190
835,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,83
836,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,373
837,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,2359
838,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,5079
839,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,4714
840,generic_artists_prompts,a design of Alec Soth,Alec Soth,5765
841,generic_artists_prompts,a painting of Alec Soth,Alec Soth,1205
842,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,5077
843,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,1413
844,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,7705
845,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,7646
846,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,3108
847,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,9244
848,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,6994
849,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,6873
850,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,8000
851,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,5951
852,generic_artists_prompts,a design of André Kertész,André Kertész,7304
853,generic_artists_prompts,a painting of André Kertész,André Kertész,2774
854,generic_artists_prompts,a piece of art of André Kertész,André Kertész,6880
855,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,8292
856,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,5869
857,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,8681
858,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,4527
859,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,7053
860,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,840
861,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,4983
862,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,4155
863,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,8861
864,generic_artists_prompts,a design of Glen Keane,Glen Keane,2240
865,generic_artists_prompts,a painting of Glen Keane,Glen Keane,2323
866,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,7136
867,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,2262
868,generic_artists_prompts,a design of John Constable,John Constable,752
869,generic_artists_prompts,a painting of John Constable,John Constable,6316
870,generic_artists_prompts,a piece of art of John Constable,John Constable,6873
871,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,5278
872,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,6336
873,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,5790
874,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,8438
875,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,5346
876,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,3682
877,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,6522
878,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,3058
879,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,2276
880,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,279
881,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,8322
882,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,1508
883,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,4698
884,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,1212
885,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,7260
886,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,7582
887,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,1524
888,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,4249
889,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,7447
890,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,2740
891,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,9751
892,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,9306
893,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,1211
894,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,3240
895,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,6230
896,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,7462
897,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,5236
898,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,365
899,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,5538
900,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,6981
901,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,9379
902,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,8352
903,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,6865
904,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,9109
905,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,4795
906,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,6035
907,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,1399
908,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,9662
909,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7795
910,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,4728
911,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,2274
912,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,654
913,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,478
914,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,5427
915,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,7563
916,generic_artists_prompts,a design of John Blanche,John Blanche,1080
917,generic_artists_prompts,a painting of John Blanche,John Blanche,3136
918,generic_artists_prompts,a piece of art of John Blanche,John Blanche,6757
919,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,9551
920,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,2126
921,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,9283
922,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,9455
923,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,3174
924,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,9737
925,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,1284
926,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,2922
927,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,4793
928,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,8493
929,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,4245
930,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,7833
931,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,7446
932,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,6522
933,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,9140
934,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,9695
935,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,3679
936,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,3138
937,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,1097
938,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,558
939,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,4736
940,generic_artists_prompts,a design of Alec Soth,Alec Soth,9924
941,generic_artists_prompts,a painting of Alec Soth,Alec Soth,9579
942,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,9583
943,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,4459
944,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,6627
945,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,6474
946,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,9023
947,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,8537
948,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,6101
949,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,3781
950,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,7517
951,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,7465
952,generic_artists_prompts,a design of André Kertész,André Kertész,1339
953,generic_artists_prompts,a painting of André Kertész,André Kertész,3741
954,generic_artists_prompts,a piece of art of André Kertész,André Kertész,6937
955,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,8016
956,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,2612
957,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,3956
958,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,1693
959,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,5080
960,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,9107
961,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,241
962,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,60
963,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,1230
964,generic_artists_prompts,a design of Glen Keane,Glen Keane,7120
965,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7334
966,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,8813
967,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,2506
968,generic_artists_prompts,a design of John Constable,John Constable,3530
969,generic_artists_prompts,a painting of John Constable,John Constable,346
970,generic_artists_prompts,a piece of art of John Constable,John Constable,9181
971,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,9126
972,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,8787
973,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,1927
974,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,3835
975,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,9266
976,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,8146
977,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,113
978,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,3054
979,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,2176
980,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,5035
981,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,5640
982,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,9022
983,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,258
984,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,4702
985,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,6446
986,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,1158
987,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,5452
988,generic_artists_prompts,a design of Muhammad Nafay,Muhammad Nafay,7827
989,generic_artists_prompts,a painting of Muhammad Nafay,Muhammad Nafay,7565
990,generic_artists_prompts,a piece of art of Muhammad Nafay,Muhammad Nafay,9464
991,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Muhammad Nafay,Muhammad Nafay,612
992,generic_artists_prompts,a design of Feng Zhu,Feng Zhu,5961
993,generic_artists_prompts,a painting of Feng Zhu,Feng Zhu,6127
994,generic_artists_prompts,a piece of art of Feng Zhu,Feng Zhu,8265
995,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Feng Zhu,Feng Zhu,1246
996,generic_artists_prompts,a design of Jean Giraud,Jean Giraud,7110
997,generic_artists_prompts,a painting of Jean Giraud,Jean Giraud,9981
998,generic_artists_prompts,a piece of art of Jean Giraud,Jean Giraud,8223
999,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Jean Giraud,Jean Giraud,66
